Local;HM;HM-0:4;HM-15:24;HM-25:64;HM-65+;H;H-0:14;H-15:24;H-25:64;H-65+;M;M-0:14;M-15:24;M-25:64;M-65+
1403:Almeirim;22012;2930;2253;11154;5675;10452;1484;1166;5378;2424;11560;1446;1087;5776;3251
1404:Alpiarça;6975;855;697;3368;2055;3326;478;375;1618;855;3649;377;322;1750;1200
1103:Azambuja;21421;2801;2234;11339;5047;10701;1424;1112;5969;2196;10720;1377;1122;5370;2851
1405:Benavente;29709;4543;3416;15889;5861;14259;2308;1754;7673;2524;15450;2235;1662;8216;3337
1406:Cartaxo;23186;2917;2369;12042;5858;11123;1474;1248;5844;2557;12063;1443;1121;6198;3301
1407:Chamusca;8530;921;737;4184;2688;4109;473;370;2101;1165;4421;448;367;2083;1523
1409:Coruche;17355;1857;1539;8203;5756;8193;935;782;4007;2469;9162;922;757;4196;3287
1412:Golegã;5400;608;539;2670;1583;2533;296;281;1307;649;2867;312;258;1363;934
1414:Rio Maior;21004;2801;2237;10938;5028;10239;1425;1191;5447;2176;10765;1376;1046;5491;2852
1415:Salvaterra de Magos;21607;2690;2224;10887;5806;10357;1355;1130;5367;2505;11250;1335;1094;5520;3301
